personen_kaufmannsklassenId,personenId,kaufmannsklassenId
1006,17566,7.0
1007,46877,7.0
1008,46878,7.0
1009,46879,7.0
1010,46880,7.0
1011,46881,7.0
1012,11956,7.0
1013,46882,7.0
1014,46883,7.0
1015,18974,7.0
1016,46884,7.0
1017,46885,7.0
1018,46886,1.0
1019,46887,7.0
1020,46888,7.0
1021,46890,7.0
1022,46892,7.0
1023,46893,7.0
1024,46894,7.0
1025,46895,7.0
1026,25004,7.0
1027,46896,7.0
1028,8263,1.0
1029,46899,1.0
1030,46900,1.0
1031,9611,1.0
1032,8413,1.0
1033,46901,1.0
1034,46902,1.0
1035,46903,1.0
1036,24852,7.0
1037,46909,7.0
1038,46910,7.0
1039,46911,7.0
1040,46914,7.0
1041,46915,7.0
1042,46919,7.0
1043,46920,7.0
1044,46922,7.0
1045,46923,7.0
1046,46925,7.0
1047,30195,7.0
1048,46927,7.0
1049,46928,7.0
1050,46929,7.0
1051,46930,9.0
1052,9287,1.0
1053,46932,1.0
1054,46933,1.0
1055,46934,1.0
1056,46937,7.0
1057,46940,7.0
1058,46941,7.0
1059,30064,7.0
1060,22485,7.0
1061,46942,7.0
1062,46943,7.0
1063,46944,7.0
1064,46946,7.0
1065,17762,1.0
1066,46948,1.0
1067,46949,1.0
1068,46950,2.0
1069,46951,2.0
1070,46952,2.0
1071,44148,2.0
1072,8272,2.0
1073,10345,2.0
1074,46954,2.0
1075,12542,2.0
1076,46955,2.0
1077,12636,7.0
1078,46956,7.0
1079,46957,2.0
1080,46958,2.0
1081,44080,1.0
1082,46959,1.0
1083,14642,1.0
1084,9030,1.0
1085,29681,1.0
1086,46960,1.0
1087,6601,1.0
1088,46961,1.0
1089,7111,7.0
1090,46962,7.0
1091,46963,7.0
1092,8326,7.0
1093,7269,7.0
1094,46964,7.0
1095,9489,7.0
1096,46965,7.0
1097,46966,7.0
1098,46967,7.0
1099,7129,7.0
1100,46968,7.0
1101,8599,7.0
1103,46969,7.0
1104,46970,7.0
1105,9870,7.0
1106,46972,7.0
1107,26085,7.0
1108,46973,7.0
1109,46974,7.0
1110,8924,7.0
1111,46975,7.0
1112,46976,7.0
1113,9964,7.0
1114,46977,7.0
1115,46978,7.0
1116,46979,7.0
1117,8595,7.0
1118,46980,7.0
1119,46981,7.0
1120,24795,7.0
1121,46982,7.0
1122,10180,7.0
1123,46983,7.0
1124,46984,7.0
1125,23591,7.0
1126,46985,7.0
1127,46986,7.0
1128,46987,7.0
1129,9643,7.0
1130,27575,7.0
1131,46990,7.0
1132,46992,7.0
1133,46993,7.0
1134,46994,7.0
1135,46995,7.0
1136,46996,7.0
1137,46997,7.0
1138,14589,1.0
1139,39974,1.0
1140,46998,1.0
1141,18158,1.0
1142,47000,7.0
1143,47001,7.0
1144,20609,7.0
1145,47002,7.0
