personen_kremsId,personenId,art,handelsgut
846,472,2,Reis
847,472,2,Schliff
848,473,,Tuch
849,474,2,Leinwand
850,7999,,Cervelatwürste
851,7999,,Spalier
852,7999,2,Käse (Permesan)
853,7999,2,Sardellen
854,7999,2,Beschlagenes Gut
855,475,,Beschlagenes Gut
856,475,,Tuch
857,475,,Muskat
858,475,,Kastanien
859,475,,Tuch
860,476,,Beschlagenes Gut
861,477,,Beschlagenes Gut
862,478,2,Geschmeide
863,479,1,Tuch
864,479,2,Reis
865,479,2,Kastanien
866,479,2,Schwefel
867,480,1,Tuch
868,481,1,Tuch
869,481,1,Meselan
870,482,2,Sensen
871,482,,Krämerei
872,482,1,Seifensiedergarn
873,483,2,Käse
874,485,,Betenware
875,486,2,Kastanien
876,486,1,Tuch
877,486,1,Baye
878,486,2,Weinbeeren
879,486,2,Indigo
880,486,2,Weinstein
881,486,1,Strümpfe
882,487,2,Weinstein
883,488,1,Ölwerg
884,489,1,Juchten
885,489,2,Kupferwasser
886,489,2,Gallus
887,489,2,Nüsse
888,489,2,Kastanien
889,489,2,Farbzeug
890,490,2,Kastanien
891,490,1,Tuch
892,491,,Weinstein
893,491,1,Tuch
894,491,1,Hüte
895,491,2,Farbzeug
896,491,2,Gallus
897,491,2,Messing
898,491,1,Schmalz
899,491,,Messing
900,492,,Leinöl
901,493,1,Lorbeer
902,493,1,Baumöl
903,493,2,Weinbeeren
904,493,1,Pasta
905,493,1,Senf
906,493,1,Käse
907,493,2,Zucker
908,493,1,Kastanien
909,493,1,Rosinen
910,493,,Oliven
911,495,,Juchten
912,496,2,Materialien
913,497,2,Materialien
914,498,1,Weinstein
915,499,2,Kastanien
916,501,1,Mandeln
917,501,1,Weinbeeren
918,501,1,Käse
919,501,2,Senf
920,502,,Weiße Ware
921,504,2,Pfeffer
922,504,2,Lorbeer
923,504,1,Wachs
924,504,2,Weinbeeren
925,504,2,Kastanien
926,504,2,Reis
927,504,2,Früchte
928,504,2,Öl
929,504,2,Krämerei
930,504,2,Schwefel
931,504,2,Feigen
932,504,2,Mandeln
933,504,2,Baumwolle
934,504,2,Rote Erde
935,504,2,Senf
936,504,2,Bimsstein
937,504,2,Limonen
938,504,2,Zitronenschalen
939,504,2,Farbzeug
940,504,2,Pomeranzen
941,505,2,Lorbeer
942,506,,Weinbeeren
943,506,,Krämerei
944,506,,Früchte
945,506,,Öl
946,507,2,Reis
947,507,2,Weinbeeren
948,508,2,Krämerei
949,509,,Baumöl
950,509,,Oliven
951,509,,Tisch
952,510,1,Käse
953,510,1,Schmalz
954,511,2,Limonenschalen
955,512,1,Wolle
956,513,,Weinstein
957,514,,Glückshafnerware
958,515,2,Federn
959,516,,Welschgut
960,516,,Beschlagenes Gut
961,517,,Kastanien
962,517,,Beschlagenes Gut
963,518,2,Kastanien
964,518,1,Pasta
965,518,1,Pfeffer
966,518,1,Zucker
967,518,1,Ingwer
968,518,2,Pasta
969,518,2,Käse
970,518,1,Spezerei
971,518,2,Senf
972,518,2,Safran
973,518,2,Messer
974,518,2,Spiegel
975,518,2,Wein
976,518,2,Früchte
977,518,2,Sensen
978,518,2,Nürnberger Ware
979,518,,Glätte
980,518,,Geschmeide
981,520,,Weinstein
982,521,2,Holzwaren
983,521,2,Nürnberger Ware
984,522,2,Schafwolle
985,523,,Wolle
986,526,1,Tuch
987,526,1,Leinwand
988,527,1,Schmalz
989,528,2,Federn
990,529,1,Wolle
991,530,1,Wolle
992,531,,Tuch
993,532,2,Krämerei
994,533,2,Tuch
995,533,2,Krämerei
996,535,2,Tuch
997,535,2,Baye
998,536,2,Heringe
999,536,2,Tuch
1000,536,2,Tiroler Wein
1001,536,2,Harrasware
1002,536,2,Öl
1003,536,2,Zucker
1004,536,2,Krämerei
1005,536,2,Prisil
1006,537,2,Öl
1007,537,2,Glätte
1008,537,2,Zucker
1009,538,,Krämerei
1010,539,2,Kastanien
1011,540,2,Tabak
1012,541,,Tuch
1013,542,1,Weißer Zwirn
1014,543,,Tuch
1015,544,2,Krämerei
1016,546,2,Mandeln
1017,546,2,Lorbeer
1018,546,2,Welscher Wein
1019,546,2,Senf
1020,546,2,Limonen
1021,546,2,Öl
1022,546,2,Weinbeeren
1023,546,2,Schwefel
1024,546,2,Kastanien
1025,546,2,Rote Erde
1026,546,2,Krämerei
1027,547,,Geschmeide
1028,548,,Geschmeide
1029,549,,Geschmeide
1030,550,1,Tabak
1031,552,2,Juchten
1032,553,,Tuch
1033,553,,Socken
1034,554,2,Weinstein
1035,556,2,Krämerei
1036,557,2,Federn
1037,558,1,Hanf
1038,559,1,Fischschmalz
1039,560,2,Wolle
1040,561,2,Wachs
1041,562,1,Leinwand
1042,564,2,Materialien
1043,565,2,Materialien
1044,566,2,Röte
1045,567,2,Leinwand
1046,568,,Geschmeide
1047,569,2,Juchten
1048,570,2,Kreide
1049,570,2,Juchten
1050,570,2,Tuch
1051,570,2,Kronrasch
1052,570,2,Krämerei
1053,570,2,Pfeffer
1054,571,1,Zinn
1055,572,2,Kastanien
1056,575,2,Tabak
1057,575,2,Indigo
1058,576,2,Kastanien
1059,578,1,Pulver
1060,578,2,Salpeter
1061,579,2,Wolle
1062,579,1,Socken
1063,580,,Leinöl
1064,581,1,Federkiele
1065,582,1,Geschmeide
1066,583,,Leinöl
1067,584,,Schafwolle
1068,584,,Tuch
1069,584,,Beschlagenes Gut
1070,584,,Wolle
1071,584,2,Schafwolle
1072,584,,Harrasware
1073,585,2,Leinwand
1074,586,1,Federn
1075,587,,Krämerei
1076,587,2,Krämerei
1077,588,,Krämerei
1078,589,,Strohmesser
1079,589,,Sensen
1080,590,,Sensen
1081,590,,Geschmeide
1082,590,1,Holländischer Käse
1083,590,1,Stockfisch
1084,590,1,Juchten
1085,590,,Strohmesser
1086,590,,Schusterleder
1087,590,,Sohlenleder
1088,592,2,Öl
1089,592,2,Weinbeeren
1090,592,2,Feigen
1091,592,2,Lorbeer
1092,592,2,Senf
1093,594,2,Kastanien
1094,595,2,Senf
1095,595,2,Tuch
1096,595,2,Socken
1097,596,1,Öl
1098,597,2,Kastanien
