hauptdokument_kaeufer_name_vkId,id,personenId
611,1324,1688
612,1734,1688
613,2113,1688
614,2440,1688
615,7120,1688
616,7148,1688
617,116,1690
618,157,1690
619,166,1690
620,297,1690
621,314,1690
622,446,1690
623,564,1690
624,630,1690
625,1318,1690
626,1324,1690
627,1734,1690
628,2113,1690
629,2440,1690
630,7120,1690
631,7148,1690
632,879,1730
633,881,1730
634,2133,1735
635,6951,1737
636,2617,1753
637,2649,1753
638,3369,1753
639,3526,1753
640,3528,1753
641,3566,1753
642,7125,1755
643,2526,1758
644,2722,1758
645,1015,1765
646,422,1784
647,708,1784
648,2241,1784
649,422,1796
650,708,1796
651,2241,1796
652,1731,1808
653,2209,1814
654,2211,1814
655,2213,1814
656,1415,1818
657,660,1839
658,1943,1844
659,848,1856
660,859,1856
661,2116,1856
662,2236,1856
663,1005,1869
664,1804,1869
665,3657,1876
666,3657,1878
667,3657,1879
668,1711,1883
669,1714,1883
670,7279,1889
671,2281,1890
672,873,1892
673,7025,1900
674,3801,1911
675,2145,1913
676,2012,1941
677,2032,1941
678,996,1953
679,681,1955
680,671,1963
681,718,1963
682,1945,1963
683,2066,1963
684,2121,1963
685,2123,1963
686,3793,1977
687,2253,1978
688,6980,1981
689,908,2011
690,4290,2014
691,4292,2014
692,4295,2014
693,4299,2014
694,4415,2014
695,4416,2014
696,4419,2014
697,3972,2015
698,7449,2015
699,7454,2015
700,2384,2031
701,691,2033
702,695,2033
703,1973,2033
704,691,2038
705,695,2038
706,1973,2038
707,1978,2040
708,2104,2040
709,2689,2071
710,3653,2071
711,3655,2071
712,3665,2071
713,2689,2073
714,3653,2073
715,3655,2073
716,3665,2073
717,2822,2094
718,2888,2094
719,2889,2094
720,2894,2094
721,2899,2094
722,2900,2094
723,2901,2094
724,2905,2094
725,2917,2094
726,2927,2094
727,2986,2094
728,2993,2094
729,3003,2094
730,3004,2094
731,3005,2094
732,3011,2094
733,3012,2094
734,3013,2094
735,3014,2094
736,3016,2094
737,3017,2094
738,2797,2095
739,3983,2095
740,4286,2095
741,4298,2095
742,4425,2095
743,4807,2095
744,4808,2095
745,7422,2095
746,7453,2095
747,7455,2095
748,2828,2096
749,4422,2096
750,2137,2132
751,831,2146
752,876,2146
753,2581,2149
754,2715,2149
755,2726,2149
756,7472,2152
757,7505,2152
758,7506,2152
759,1319,2153
760,1504,2153
761,1684,2153
762,1703,2153
763,1733,2153
764,1922,2153
765,1923,2153
766,2059,2153
767,2065,2153
768,2451,2153
769,2452,2153
770,2455,2153
771,2456,2153
772,902,2159
773,7180,2167
774,222,2172
775,3340,2173
776,3340,2178
777,7139,2179
778,489,2187
779,1171,2187
780,3330,2188
781,1006,2207
782,1039,2207
783,2073,2207
784,899,2208
