hauptdokument_verkaeufer_firmaId,id,firmaInstitutionId
1033,8647,284
1034,8684,284
1035,8694,284
1036,8768,284
1037,8782,284
1038,8950,284
1039,6898,309
1040,2806,411
1041,1661,436
1042,1846,436
1043,591,503
1044,2545,514
1045,6145,516
1046,6393,516
1047,5239,517
1048,3939,521
1049,907,528
1050,2744,532
1051,3374,532
1052,3615,532
1053,3747,532
1054,3774,532
1055,3783,532
1056,3787,532
1057,2590,538
1058,2794,538
1059,6706,538
1060,7370,538
1061,2771,549
1062,3088,555
1063,3410,555
1064,3762,555
1065,3869,555
1066,3326,556
1067,9285,4
1068,9286,4
1069,9287,4
1070,9296,4
1071,9298,4
1072,9349,4
1073,9370,4
1074,9732,4
1075,9738,4
1076,9752,4
1077,9758,4
1078,9788,4
1079,9795,4
1080,10407,4
1081,10618,4
1082,10714,5
1083,11807,5
1084,13985,5
1085,9332,10
1086,9450,10
1087,9466,10
1088,9743,10
1089,10018,10
1090,14865,10
1091,15207,10
1092,15838,10
1093,16953,10
1094,11806,11
1095,14758,11
1096,14759,11
1097,10598,13
1098,9155,14
1099,9249,14
1100,9426,14
1101,9458,14
1102,9464,14
1103,9465,14
1104,9739,14
1105,9740,14
1106,9760,14
1107,9779,14
1108,10219,14
1109,10864,14
1110,10873,14
1111,11602,14
1112,11636,14
1113,11656,14
1114,11763,14
1115,12012,14
1116,12063,14
1117,12083,14
1118,12257,14
1119,13463,14
1120,13831,14
1121,14275,14
1122,14276,14
1123,14277,14
1124,14280,14
1125,14452,14
1126,14625,14
1127,15384,14
1128,15409,14
1129,15795,14
1130,15933,14
1131,15937,14
1132,15940,14
1133,15955,14
1134,16702,14
1135,17353,14
1136,17373,14
1137,12312,15
1138,9783,19
1139,9790,19
1140,10566,19
1141,9257,22
1142,9494,22
1143,9512,22
1144,9682,22
1145,9765,22
1146,10460,22
1147,10479,22
1148,10519,22
1149,9140,23
1150,9181,23
1151,9412,23
1152,9663,23
1153,10497,23
1154,10503,23
1155,10521,23
1156,16209,23
1157,16313,23
1158,16318,23
1159,17443,23
1160,17634,23
1161,15371,25
1162,15760,25
1163,15766,25
1164,15879,25
1165,15936,25
1166,16266,25
1167,16268,25
1168,16437,25
1169,16980,25
1170,17022,25
1171,17086,25
1172,17120,25
1173,17424,25
1174,17425,25
1175,9483,27
1176,9509,27
1177,9578,27
1178,9685,27
1179,10530,27
1180,10570,27
1181,16039,27
1182,16225,27
1183,16254,27
1184,16265,27
1185,16288,27
1186,16290,27
1187,16294,27
1188,16494,27
1189,16544,27
1190,16972,27
1191,17205,27
1192,17208,27
1193,17276,27
1194,17290,27
1195,17483,27
1196,17502,27
1197,17524,27
1198,17611,27
1199,17665,27
1200,17667,27
1201,17717,27
1202,9662,28
1203,10480,28
1204,10496,28
1205,9668,29
1206,10412,29
1207,10453,29
1208,10470,29
1209,15396,31
1210,15504,31
1211,15644,31
1212,15963,31
1213,16110,31
1214,16255,31
1215,16261,31
1216,16289,31
1217,16295,31
1218,16325,31
1219,16556,31
1220,17405,31
1221,17481,31
1222,17484,31
1223,17487,31
1224,17523,31
1225,10056,36
1226,10064,36
1227,10162,36
1228,10206,36
1229,10233,36
1230,10635,36
1231,10648,36
1232,11545,36
1233,11623,36
1234,12126,36
1235,12158,36
1236,12390,36
1237,12481,36
1238,12491,36
1239,12514,36
1240,12561,36
1241,12580,36
1242,12879,36
1243,12880,36
1244,12948,36
1245,13018,36
1246,13072,36
1247,13095,36
1248,13125,36
1249,13175,36
1250,13185,36
1251,13197,36
1252,13286,36
1253,13399,36
1254,13400,36
1255,13544,36
1256,13555,36
1257,13888,36
1258,13917,36
1259,14063,36
1260,14070,36
1261,14098,36
1262,14264,36
1263,14473,36
1264,14897,36
1265,14922,36
1266,15047,36
1267,15063,36
1268,15081,36
1269,15329,36
1270,15330,36
1271,10834,41
1272,11609,41
1273,12175,41
1274,12993,41
1275,13421,41
1276,13434,41
1277,15002,41
1278,10061,56
1279,10095,56
1280,10190,56
1281,10262,56
1282,10264,56
1283,10320,56
1284,10355,56
1285,10365,56
1286,10654,56
1287,10709,56
1288,10870,56
1289,10976,56
1290,11095,56
1291,11164,56
1292,11265,56
1293,11278,56
1294,11282,56
1295,11424,56
1296,11433,56
1297,11440,56
1298,11532,56
1299,12116,56
1300,12127,56
1301,12130,56
1302,13405,56
1303,13460,56
1304,13492,56
1305,13508,56
1306,13513,56
1307,13786,56
1308,13810,56
1309,13861,56
1310,14228,56
1311,14242,56
1312,14339,56
1313,14443,56
1314,14469,56
1315,14732,64
1316,15857,64
1317,15861,64
1318,15863,64
1319,16999,64
1320,14197,66
1321,11766,67
1322,11898,67
1323,15395,67
1324,15408,67
1325,16189,67
1326,16199,67
1327,16234,67
1328,16238,67
1329,16525,67
1330,16587,67
1331,16903,67
1332,17428,67
1333,17500,67
1334,17508,67
1335,9574,68
1336,9640,68
1337,11939,68
1338,14760,68
1339,15424,68
1340,15508,68
1341,15675,68
1342,15696,68
1343,16190,68
1344,16200,68
1345,16247,68
1346,16279,68
1347,16330,68
1348,16390,68
1349,16391,68
1350,16392,68
1351,16873,68
1352,16921,68
1353,17019,68
1354,17053,68
1355,17432,68
1356,17512,68
1357,17545,68
1358,17591,68
1359,17711,68
1360,10575,72
1361,15370,72
1362,17119,72
1363,14791,73
1364,15721,73
1365,15946,73
1366,16314,73
1367,16932,73
1368,17489,73
1369,17540,73
1370,17552,73
1371,15844,74
1372,16101,74
1373,16221,74
1374,16504,74
1375,16966,74
1376,17336,74
1377,17445,74
1378,17716,74
1379,10072,81
1380,16922,82
1381,17118,82
1382,10471,92
1383,11513,92
1384,11524,92
1385,12941,92
1386,13426,92
1387,13536,92
1388,14175,92
1389,14929,92
1390,14947,92
1391,10298,93
1392,10779,93
1393,10899,93
1394,10824,96
1395,11561,96
1396,14183,96
1397,14940,96
1398,11020,108
1399,11735,108
1400,11808,108
1401,11821,108
1402,11860,108
1403,11686,110
1404,15539,111
1405,11490,114
1406,11764,114
1407,11903,114
1408,11911,114
1409,11986,114
1410,12608,114
1411,12726,114
1412,13583,114
1413,13595,114
1414,11492,115
1415,12615,115
1416,12617,115
1417,13594,115
1418,13730,115
1419,12609,117
1420,12628,117
1421,12647,117
1422,13592,117
1423,11933,118
1424,12621,118
1425,12682,118
1426,13602,118
1427,12311,119
1428,12226,152
1429,12249,152
1430,12348,152
1431,12372,152
1432,12391,152
1433,12526,152
1434,12604,152
1435,12833,152
1436,13587,152
1437,13612,152
1438,12072,153
1439,12073,153
1440,12086,153
1441,11913,158
1442,11744,186
1443,10876,209
1444,10983,209
1445,11525,209
1446,13338,209
1447,14287,209
1448,12058,223
1449,12265,223
1450,13512,239
1451,15105,239
1452,15369,239
1453,15379,239
1454,17277,239
1455,12029,249
1456,9274,256
1457,9297,256
1458,9305,256
1459,9368,256
1460,9083,257
1461,9097,257
1462,9102,257
1463,9128,257
1464,9129,257
1465,9130,257
1466,9149,257
1467,9288,257
1468,9289,257
1469,9290,257
1470,9291,257
1471,15093,264
1472,15295,264
1473,15298,264
1474,15321,264
1475,15350,264
1476,11191,266
1477,11489,266
1478,11661,266
1479,11906,266
1480,11914,266
1481,11926,266
1482,11993,266
1483,11484,267
1484,11762,267
1485,11904,267
1486,11990,267
1487,12005,268
1488,9106,269
1489,9148,269
1490,9205,269
1491,9218,269
1492,9247,269
1493,9248,269
1494,9254,269
1495,9269,269
1496,9346,269
1497,9496,269
1498,9504,269
1499,9519,269
1500,9543,269
1501,9544,269
1502,9545,269
1503,9546,269
1504,9675,269
1505,9681,269
1506,9703,269
1507,9704,269
1508,9764,269
1509,9785,269
1510,9789,269
1511,9797,269
1512,9798,269
1513,9803,269
1514,9804,269
1515,9838,269
1516,9928,269
1517,10009,269
1518,10372,269
1519,10416,269
1520,10475,269
1521,10477,269
1522,10526,269
1523,10552,269
1524,10555,269
1525,10564,269
1526,10571,269
1527,9282,271
1528,10175,271
1529,10886,271
1530,10887,271
1531,14223,271
1532,15328,271
1533,9324,273
1534,9472,273
1535,9562,273
1536,9796,273
1537,12023,275
1538,9162,277
1539,9186,277
1540,9202,277
1541,9207,277
1542,9258,277
1543,9123,278
1544,9131,278
1545,9177,278
1546,9117,280
1547,9197,280
1548,9234,280
1549,9252,280
1550,9183,281
1551,9157,284
1552,9168,284
1553,9225,284
1554,9498,284
1555,9517,284
1556,9666,284
1557,9678,284
1558,9768,284
1559,9806,284
1560,10461,284
1561,10493,284
1562,10517,284
1563,16194,284
1564,17421,284
1565,17436,284
1566,17494,284
1567,9133,287
1568,9134,287
1569,9135,287
1570,9136,287
1571,9267,288
1572,9431,289
1573,9493,290
1574,9511,290
1575,9607,290
1576,9620,290
1577,9793,290
1578,9794,290
1579,9854,290
1580,9939,290
1581,10103,290
1582,10104,290
1583,10105,290
1584,10108,290
1585,10410,290
1586,10423,290
1587,9525,291
1588,9861,293
1589,10642,293
1590,12938,293
1591,12962,293
1592,13103,293
1593,13146,293
1594,13871,293
1595,13887,293
1596,13916,293
1597,13928,293
1598,14190,293
1599,14304,293
1600,14933,293
1601,14964,293
1602,15264,293
1603,15275,293
1604,9868,294
1605,10644,294
1606,10645,294
1607,10646,294
1608,10892,294
1609,10985,294
1610,11521,294
1611,13187,294
1612,10047,296
1613,9865,297
1614,12108,297
1615,12999,297
1616,13503,297
1617,13860,297
1618,15259,297
1619,10083,299
1620,10152,299
1621,10213,301
1622,10230,302
1623,12420,302
1624,13911,302
1625,10312,306
1626,10773,306
1627,10810,306
1628,10825,306
1629,10840,306
1630,10844,306
1631,10907,306
1632,10918,306
1633,11505,306
1634,11554,306
1635,10428,307
1636,10557,309
1637,10628,310
1638,12032,310
1639,12190,310
1640,12282,310
1641,12288,310
1642,12358,310
1643,13000,310
1644,13325,310
1645,13778,310
1646,13802,310
1647,13838,310
1648,13856,310
1649,13951,310
1650,14235,310
1651,14251,310
1652,14346,310
1653,15258,310
1654,15346,310
1655,10629,311
1656,10666,311
1657,10860,311
1658,12035,311
1659,12076,311
1660,12103,311
1661,12151,311
1662,12161,311
1663,12186,311
1664,12266,311
1665,12281,311
1666,12308,311
1667,12998,311
1668,13121,311
1669,13320,311
1670,13330,311
1671,13496,311
1672,13498,311
1673,13776,311
1674,13800,311
1675,13807,311
1676,13821,311
1677,13827,311
1678,13858,311
1679,13947,311
1680,14233,311
1681,14347,311
1682,14351,311
1683,14353,311
1684,15074,311
1685,15253,311
1686,15254,311
1687,15348,311
1688,12926,313
1689,12940,313
1690,13071,313
1691,13144,313
1692,13873,313
1693,13963,313
1694,14094,313
1695,14301,313
1696,14858,313
1697,14893,313
1698,14920,313
1699,14979,313
1700,15203,313
1701,10686,315
1702,10790,317
1703,11403,317
1704,11406,317
1705,11429,317
1706,12400,317
1707,10821,319
1708,13876,319
1709,10836,321
1710,10856,322
1711,11676,328
1712,11759,328
1713,11682,329
1714,11760,329
1715,12982,333
1716,14994,333
1717,11849,337
1718,11850,337
1719,11948,338
1720,12067,339
1721,12316,339
1722,12066,340
1723,12077,342
1724,10877,343
1725,12113,343
1726,12129,343
1727,10058,344
1728,10075,344
1729,11438,344
1730,11504,344
1731,12141,344
1732,12548,344
1733,12905,344
1734,13047,344
1735,13138,344
1736,13896,344
1737,13970,344
1738,14074,344
1739,14306,344
1740,14686,344
1741,14848,344
1742,14941,344
1743,10687,346
1744,12185,346
1745,13090,346
1746,13107,346
1747,15122,346
1748,15206,346
1749,15208,346
1750,13929,347
1751,12207,348
1752,14216,348
1753,14299,348
1754,14982,348
1755,12292,349
1756,12398,352
1757,12409,352
1758,12616,355
1759,12725,355
1760,13582,355
1761,13593,355
1762,12625,356
1763,13622,356
1764,10818,358
1765,11528,358
1766,12925,358
1767,13173,358
